round,dropout_count,global_accuracy,num_participated,num_available,participating_cids
1,2,0.8694,6,8,"[0, 1, 4, 5, 6, 7]"
2,2,0.8778,6,8,"[0, 1, 4, 5, 6, 7]"
3,2,0.8944,6,8,"[0, 1, 4, 5, 6, 7]"
4,2,0.8833,6,8,"[0, 1, 4, 5, 6, 7]"
5,2,0.8806,6,8,"[0, 1, 4, 5, 6, 7]"
6,2,0.8250,6,8,"[0, 1, 4, 5, 6, 7]"
7,2,0.8306,6,8,"[0, 1, 4, 5, 6, 7]"
8,2,0.8028,6,8,"[0, 1, 4, 5, 6, 7]"
9,2,0.8556,6,8,"[0, 1, 4, 5, 6, 7]"
10,2,0.8722,6,8,"[0, 1, 4, 5, 6, 7]"
11,2,0.9028,6,8,"[0, 1, 4, 5, 6, 7]"
12,2,0.8972,6,8,"[0, 1, 4, 5, 6, 7]"
13,2,0.9194,6,8,"[0, 1, 4, 5, 6, 7]"
14,2,0.9139,6,8,"[0, 1, 4, 5, 6, 7]"
15,2,0.9139,6,8,"[0, 1, 4, 5, 6, 7]"
16,2,0.9139,6,8,"[0, 1, 4, 5, 6, 7]"
17,2,0.9139,6,8,"[0, 1, 4, 5, 6, 7]"
18,2,0.9139,6,8,"[0, 1, 4, 5, 6, 7]"
19,2,0.9111,6,8,"[0, 1, 4, 5, 6, 7]"
20,2,0.9139,6,8,"[0, 1, 4, 5, 6, 7]"
21,2,0.9111,6,8,"[0, 1, 4, 5, 6, 7]"
22,2,0.9139,6,8,"[0, 1, 4, 5, 6, 7]"
23,2,0.9139,6,8,"[0, 1, 4, 5, 6, 7]"
24,2,0.9194,6,8,"[0, 1, 4, 5, 6, 7]"
25,2,0.9194,6,8,"[0, 1, 4, 5, 6, 7]"
26,2,0.9222,6,8,"[0, 1, 4, 5, 6, 7]"
27,2,0.9194,6,8,"[0, 1, 4, 5, 6, 7]"
28,2,0.9222,6,8,"[0, 1, 4, 5, 6, 7]"
29,2,0.9222,6,8,"[0, 1, 4, 5, 6, 7]"
30,2,0.9222,6,8,"[0, 1, 4, 5, 6, 7]"
31,2,0.9250,6,8,"[0, 1, 4, 5, 6, 7]"
32,2,0.9306,6,8,"[0, 1, 4, 5, 6, 7]"
33,2,0.9306,6,8,"[0, 1, 4, 5, 6, 7]"
34,2,0.9333,6,8,"[0, 1, 4, 5, 6, 7]"
35,2,0.9333,6,8,"[0, 1, 4, 5, 6, 7]"
36,2,0.9333,6,8,"[0, 1, 4, 5, 6, 7]"
37,2,0.9361,6,8,"[0, 1, 4, 5, 6, 7]"
38,2,0.9333,6,8,"[0, 1, 4, 5, 6, 7]"
39,2,0.9361,6,8,"[0, 1, 4, 5, 6, 7]"
40,2,0.9361,6,8,"[0, 1, 4, 5, 6, 7]"
