round,scheme,global_accuracy
1,iid,0.4053
2,iid,0.4924
3,iid,0.5248
4,iid,0.5643
5,iid,0.5375
6,iid,0.5993
7,iid,0.5735
8,iid,0.6327
9,iid,0.6292
10,iid,0.6545
11,iid,0.6525
12,iid,0.6626
13,iid,0.6849
14,iid,0.6753
15,iid,0.6844
16,iid,0.6596
17,iid,0.6783
18,iid,0.6814
19,iid,0.6930
20,iid,0.6849
21,iid,0.6869
22,iid,0.6849
23,iid,0.6809
24,iid,0.6930
25,iid,0.7042
26,iid,0.7036
27,iid,0.7107
28,iid,0.7082
29,iid,0.6966
30,iid,0.6884
