round,clients_per_round,global_accuracy,num_participated,total_clients,participating_cids
1,2,0.4000,2,10,"[7, 8]"
2,2,0.5333,2,10,"[4, 6]"
3,2,0.8139,2,10,"[2, 5]"
4,2,0.7083,2,10,"[1, 2]"
5,2,0.7750,2,10,"[1, 9]"
6,2,0.7056,2,10,"[0, 3]"
7,2,0.8139,2,10,"[2, 5]"
8,2,0.8111,2,10,"[4, 9]"
9,2,0.8417,2,10,"[4, 6]"
10,2,0.8306,2,10,"[3, 8]"
11,2,0.8250,2,10,"[5, 9]"
12,2,0.8222,2,10,"[1, 7]"
13,2,0.8417,2,10,"[1, 9]"
14,2,0.8944,2,10,"[1, 3]"
15,2,0.8944,2,10,"[1, 6]"
16,2,0.9222,2,10,"[1, 2]"
17,2,0.9111,2,10,"[3, 7]"
18,2,0.9056,2,10,"[0, 5]"
19,2,0.9167,2,10,"[1, 8]"
20,2,0.9167,2,10,"[1, 7]"
21,2,0.8611,2,10,"[5, 8]"
22,2,0.8944,2,10,"[1, 7]"
23,2,0.9000,2,10,"[0, 2]"
24,2,0.9083,2,10,"[8, 9]"
25,2,0.8917,2,10,"[0, 8]"
26,2,0.9278,2,10,"[2, 8]"
27,2,0.9028,2,10,"[3, 6]"
28,2,0.9083,2,10,"[0, 7]"
29,2,0.9306,2,10,"[7, 9]"
30,2,0.9222,2,10,"[2, 4]"
31,2,0.9194,2,10,"[3, 5]"
32,2,0.9333,2,10,"[3, 5]"
33,2,0.9361,2,10,"[1, 7]"
34,2,0.9250,2,10,"[0, 8]"
35,2,0.9306,2,10,"[4, 8]"
36,2,0.9278,2,10,"[1, 7]"
37,2,0.9306,2,10,"[1, 2]"
38,2,0.9333,2,10,"[2, 8]"
39,2,0.9333,2,10,"[2, 4]"
40,2,0.9333,2,10,"[0, 9]"
