round,clients_per_round,global_accuracy,num_participated,total_clients,participating_cids
1,8,0.8139,8,10,"[0, 2, 4, 5, 6, 7, 8, 9]"
2,8,0.7944,8,10,"[0, 1, 2, 3, 5, 6, 8, 9]"
3,8,0.8361,8,10,"[0, 1, 3, 4, 6, 7, 8, 9]"
4,8,0.8278,8,10,"[0, 1, 2, 4, 5, 7, 8, 9]"
5,8,0.8194,8,10,"[0, 1, 2, 3, 5, 7, 8, 9]"
6,8,0.8083,8,10,"[1, 3, 4, 5, 6, 7, 8, 9]"
7,8,0.8000,8,10,"[0, 1, 3, 4, 5, 6, 7, 8]"
8,8,0.8222,8,10,"[0, 2, 3, 4, 6, 7, 8, 9]"
9,8,0.8333,8,10,"[0, 1, 2, 3, 4, 5, 6, 7]"
10,8,0.8194,8,10,"[0, 1, 2, 3, 4, 5, 8, 9]"
11,8,0.8528,8,10,"[0, 1, 4, 5, 6, 7, 8, 9]"
12,8,0.8889,8,10,"[0, 3, 4, 5, 6, 7, 8, 9]"
13,8,0.8583,8,10,"[0, 1, 2, 3, 5, 6, 7, 9]"
14,8,0.9139,8,10,"[0, 3, 4, 5, 6, 7, 8, 9]"
15,8,0.9167,8,10,"[0, 1, 4, 5, 6, 7, 8, 9]"
16,8,0.9139,8,10,"[1, 2, 3, 4, 5, 6, 8, 9]"
17,8,0.9278,8,10,"[0, 2, 3, 4, 5, 6, 8, 9]"
18,8,0.9222,8,10,"[0, 1, 2, 3, 4, 5, 8, 9]"
19,8,0.9306,8,10,"[0, 2, 3, 4, 6, 7, 8, 9]"
20,8,0.9167,8,10,"[0, 1, 3, 4, 5, 6, 7, 9]"
21,8,0.9306,8,10,"[0, 2, 4, 5, 6, 7, 8, 9]"
22,8,0.9222,8,10,"[0, 1, 4, 5, 6, 7, 8, 9]"
23,8,0.9306,8,10,"[0, 1, 2, 3, 4, 6, 7, 8]"
24,8,0.9194,8,10,"[0, 1, 2, 3, 4, 5, 7, 9]"
25,8,0.9306,8,10,"[0, 1, 2, 4, 5, 6, 7, 8]"
26,8,0.9250,8,10,"[0, 1, 2, 4, 6, 7, 8, 9]"
27,8,0.9194,8,10,"[0, 1, 3, 5, 6, 7, 8, 9]"
28,8,0.9222,8,10,"[0, 2, 4, 5, 6, 7, 8, 9]"
29,8,0.9333,8,10,"[0, 1, 2, 4, 5, 6, 8, 9]"
30,8,0.9250,8,10,"[0, 1, 2, 4, 5, 6, 7, 8]"
31,8,0.9333,8,10,"[0, 1, 2, 3, 4, 5, 7, 9]"
32,8,0.9250,8,10,"[0, 1, 2, 3, 4, 7, 8, 9]"
33,8,0.9306,8,10,"[1, 2, 3, 5, 6, 7, 8, 9]"
34,8,0.9278,8,10,"[0, 1, 2, 4, 5, 6, 7, 9]"
35,8,0.9278,8,10,"[0, 1, 2, 4, 5, 6, 7, 8]"
36,8,0.9250,8,10,"[0, 1, 2, 3, 4, 5, 6, 7]"
37,8,0.9222,8,10,"[0, 1, 2, 4, 5, 6, 7, 9]"
38,8,0.9306,8,10,"[0, 1, 2, 4, 5, 6, 7, 9]"
39,8,0.9333,8,10,"[0, 2, 4, 5, 6, 7, 8, 9]"
40,8,0.9333,8,10,"[0, 2, 3, 4, 5, 6, 7, 8]"
