round,clients_per_round,global_accuracy,num_participated,total_clients,participating_cids
1,10,0.8472,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,10,0.8833,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
3,10,0.8917,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
4,10,0.8750,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,10,0.8750,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
6,10,0.8194,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
7,10,0.8611,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
8,10,0.8194,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
9,10,0.8444,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,10,0.8194,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
11,10,0.8639,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
12,10,0.9056,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
13,10,0.9194,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
14,10,0.9111,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,10,0.9194,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
16,10,0.9167,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
17,10,0.9250,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
18,10,0.9194,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
19,10,0.9333,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,10,0.9222,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
21,10,0.9333,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
22,10,0.9222,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
23,10,0.9361,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
24,10,0.9250,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,10,0.9361,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
26,10,0.9306,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
27,10,0.9361,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
28,10,0.9306,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
29,10,0.9333,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,10,0.9250,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
31,10,0.9361,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
32,10,0.9333,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
33,10,0.9361,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
34,10,0.9306,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,10,0.9361,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
36,10,0.9278,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
37,10,0.9333,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
38,10,0.9306,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
39,10,0.9333,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,10,0.9306,10,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
