round,mode,dropout_rate,clients_per_round,global_accuracy,per_class_accuracy,num_participated,num_available,comm_cost,participating_cids
1,model_dropout,0.5,8,0.7583,"{""0"": 0.9393939393939394, ""1"": 0.75, ""2"": 0.9696969696969697, ""3"": 1.0, ""4"": 1.0, ""5"": 0.5531914893617021, ""6"": 1.0, ""7"": 0.8529411764705882, ""8"": 0.26666666666666666, ""9"": 0.275}",8,8,2600,"[0, 1, 2, 3, 4, 5, 6, 7]"
2,model_dropout,0.5,8,0.8250,"{""0"": 0.9696969696969697, ""1"": 0.7857142857142857, ""2"": 0.9393939393939394, ""3"": 0.9705882352941176, ""4"": 1.0, ""5"": 0.6808510638297872, ""6"": 0.9714285714285714, ""7"": 0.9117647058823529, ""8"": 0.2, ""9"": 0.75}",8,8,2596,"[0, 1, 2, 3, 4, 5, 6, 7]"
3,model_dropout,0.5,8,0.8444,"{""0"": 0.9696969696969697, ""1"": 0.75, ""2"": 0.9696969696969697, ""3"": 1.0, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9117647058823529, ""8"": 0.3333333333333333, ""9"": 0.625}",8,8,2648,"[0, 1, 2, 3, 4, 5, 6, 7]"
4,model_dropout,0.5,8,0.8778,"{""0"": 0.9696969696969697, ""1"": 0.7857142857142857, ""2"": 0.9393939393939394, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.7872340425531915, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.5, ""9"": 0.85}",8,8,2618,"[0, 1, 2, 3, 4, 5, 6, 7]"
5,model_dropout,0.5,8,0.8806,"{""0"": 0.9696969696969697, ""1"": 0.7857142857142857, ""2"": 0.9393939393939394, ""3"": 1.0, ""4"": 1.0, ""5"": 0.7872340425531915, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.4666666666666667, ""9"": 0.85}",8,8,2553,"[0, 1, 2, 3, 4, 5, 6, 7]"
6,model_dropout,0.5,8,0.8778,"{""0"": 1.0, ""1"": 0.7857142857142857, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.43333333333333335, ""9"": 0.85}",8,8,2604,"[0, 1, 2, 3, 4, 5, 6, 7]"
7,model_dropout,0.5,8,0.9000,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7, ""9"": 0.85}",8,8,2554,"[0, 1, 2, 3, 4, 5, 6, 7]"
8,model_dropout,0.5,8,0.8972,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.6, ""9"": 0.85}",8,8,2627,"[0, 1, 2, 3, 4, 5, 6, 7]"
9,model_dropout,0.5,8,0.8972,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7, ""9"": 0.85}",8,8,2625,"[0, 1, 2, 3, 4, 5, 6, 7]"
10,model_dropout,0.5,8,0.9056,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9393939393939394, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7, ""9"": 0.85}",8,8,2688,"[0, 1, 2, 3, 4, 5, 6, 7]"
11,model_dropout,0.5,8,0.9028,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7, ""9"": 0.85}",8,8,2591,"[0, 1, 2, 3, 4, 5, 6, 7]"
12,model_dropout,0.5,8,0.9000,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.85}",8,8,2567,"[0, 1, 2, 3, 4, 5, 6, 7]"
13,model_dropout,0.5,8,0.9139,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.85}",8,8,2541,"[0, 1, 2, 3, 4, 5, 6, 7]"
14,model_dropout,0.5,8,0.9056,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9393939393939394, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.85}",8,8,2561,"[0, 1, 2, 3, 4, 5, 6, 7]"
15,model_dropout,0.5,8,0.9139,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.85}",8,8,2551,"[0, 1, 2, 3, 4, 5, 6, 7]"
16,model_dropout,0.5,8,0.9139,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9393939393939394, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.85}",8,8,2618,"[0, 1, 2, 3, 4, 5, 6, 7]"
17,model_dropout,0.5,8,0.9111,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.9090909090909091, ""3"": 0.9117647058823529, ""4"": 0.9565217391304348, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,2604,"[0, 1, 2, 3, 4, 5, 6, 7]"
18,model_dropout,0.5,8,0.9194,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.85}",8,8,2612,"[0, 1, 2, 3, 4, 5, 6, 7]"
19,model_dropout,0.5,8,0.9139,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 0.9565217391304348, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,2602,"[0, 1, 2, 3, 4, 5, 6, 7]"
20,model_dropout,0.5,8,0.9222,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.85}",8,8,2600,"[0, 1, 2, 3, 4, 5, 6, 7]"
21,model_dropout,0.5,8,0.9194,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,2559,"[0, 1, 2, 3, 4, 5, 6, 7]"
22,model_dropout,0.5,8,0.9222,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.875}",8,8,2584,"[0, 1, 2, 3, 4, 5, 6, 7]"
23,model_dropout,0.5,8,0.9222,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.85}",8,8,2575,"[0, 1, 2, 3, 4, 5, 6, 7]"
24,model_dropout,0.5,8,0.9222,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9393939393939394, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.85}",8,8,2544,"[0, 1, 2, 3, 4, 5, 6, 7]"
25,model_dropout,0.5,8,0.9250,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.875}",8,8,2578,"[0, 1, 2, 3, 4, 5, 6, 7]"
26,model_dropout,0.5,8,0.9194,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,2611,"[0, 1, 2, 3, 4, 5, 6, 7]"
27,model_dropout,0.5,8,0.9306,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.875}",8,8,2644,"[0, 1, 2, 3, 4, 5, 6, 7]"
28,model_dropout,0.5,8,0.9250,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.85}",8,8,2600,"[0, 1, 2, 3, 4, 5, 6, 7]"
29,model_dropout,0.5,8,0.9278,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.875}",8,8,2574,"[0, 1, 2, 3, 4, 5, 6, 7]"
30,model_dropout,0.5,8,0.9306,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.8723404255319149, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.85}",8,8,2597,"[0, 1, 2, 3, 4, 5, 6, 7]"
31,model_dropout,0.5,8,0.9278,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.875}",8,8,2568,"[0, 1, 2, 3, 4, 5, 6, 7]"
32,model_dropout,0.5,8,0.9306,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,2610,"[0, 1, 2, 3, 4, 5, 6, 7]"
33,model_dropout,0.5,8,0.9361,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.8723404255319149, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,2642,"[0, 1, 2, 3, 4, 5, 6, 7]"
34,model_dropout,0.5,8,0.9389,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,2649,"[0, 1, 2, 3, 4, 5, 6, 7]"
35,model_dropout,0.5,8,0.9417,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,2655,"[0, 1, 2, 3, 4, 5, 6, 7]"
36,model_dropout,0.5,8,0.9389,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,2586,"[0, 1, 2, 3, 4, 5, 6, 7]"
37,model_dropout,0.5,8,0.9389,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.9}",8,8,2541,"[0, 1, 2, 3, 4, 5, 6, 7]"
38,model_dropout,0.5,8,0.9417,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,2584,"[0, 1, 2, 3, 4, 5, 6, 7]"
39,model_dropout,0.5,8,0.9361,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.9}",8,8,2538,"[0, 1, 2, 3, 4, 5, 6, 7]"
40,model_dropout,0.5,8,0.9361,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.9}",8,8,2598,"[0, 1, 2, 3, 4, 5, 6, 7]"
