round,mode,dropout_rate,clients_per_round,global_accuracy,per_class_accuracy,num_participated,num_available,comm_cost,participating_cids
1,model_dropout,0.25,8,0.6806,"{""0"": 0.9393939393939394, ""1"": 0.8571428571428571, ""2"": 0.8484848484848485, ""3"": 1.0, ""4"": 0.9565217391304348, ""5"": 0.6595744680851063, ""6"": 1.0, ""7"": 0.2647058823529412, ""8"": 0.1, ""9"": 0.15}",8,8,3891,"[0, 1, 2, 3, 4, 5, 6, 7]"
2,model_dropout,0.25,8,0.8694,"{""0"": 0.9696969696969697, ""1"": 0.7857142857142857, ""2"": 0.9090909090909091, ""3"": 1.0, ""4"": 0.9782608695652174, ""5"": 0.7872340425531915, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.36666666666666664, ""9"": 0.85}",8,8,3885,"[0, 1, 2, 3, 4, 5, 6, 7]"
3,model_dropout,0.25,8,0.8722,"{""0"": 0.9696969696969697, ""1"": 0.8214285714285714, ""2"": 0.8787878787878788, ""3"": 1.0, ""4"": 0.9782608695652174, ""5"": 0.8085106382978723, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.4666666666666667, ""9"": 0.775}",8,8,3830,"[0, 1, 2, 3, 4, 5, 6, 7]"
4,model_dropout,0.25,8,0.8861,"{""0"": 0.9696969696969697, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 1.0, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.5, ""9"": 0.85}",8,8,3848,"[0, 1, 2, 3, 4, 5, 6, 7]"
5,model_dropout,0.25,8,0.8944,"{""0"": 0.9696969696969697, ""1"": 0.8214285714285714, ""2"": 0.8787878787878788, ""3"": 0.9705882352941176, ""4"": 0.9347826086956522, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.7, ""9"": 0.85}",8,8,3937,"[0, 1, 2, 3, 4, 5, 6, 7]"
6,model_dropout,0.25,8,0.9028,"{""0"": 1.0, ""1"": 0.7857142857142857, ""2"": 0.9090909090909091, ""3"": 1.0, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7, ""9"": 0.85}",8,8,3895,"[0, 1, 2, 3, 4, 5, 6, 7]"
7,model_dropout,0.25,8,0.9028,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.8787878787878788, ""3"": 0.9411764705882353, ""4"": 0.9130434782608695, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.7333333333333333, ""9"": 0.85}",8,8,3969,"[0, 1, 2, 3, 4, 5, 6, 7]"
8,model_dropout,0.25,8,0.8972,"{""0"": 0.9696969696969697, ""1"": 0.6785714285714286, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.85}",8,8,3859,"[0, 1, 2, 3, 4, 5, 6, 7]"
9,model_dropout,0.25,8,0.8861,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.8484848484848485, ""3"": 0.9411764705882353, ""4"": 0.9130434782608695, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.6666666666666666, ""9"": 0.775}",8,8,3903,"[0, 1, 2, 3, 4, 5, 6, 7]"
10,model_dropout,0.25,8,0.9000,"{""0"": 0.9393939393939394, ""1"": 0.6428571428571429, ""2"": 0.9696969696969697, ""3"": 0.8823529411764706, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9, ""9"": 0.85}",8,8,3864,"[0, 1, 2, 3, 4, 5, 6, 7]"
