round,mode,dropout_rate,clients_per_round,global_accuracy,per_class_accuracy,num_participated,num_available,comm_cost,participating_cids
18,client_dropout,0.0,4,0.9028,"{""0"": 1.0, ""1"": 0.6785714285714286, ""2"": 0.9696969696969697, ""3"": 0.7941176470588235, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9, ""9"": 0.9}",4,8,2600,"[0, 4, 5, 7]"
19,client_dropout,0.0,4,0.9194,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.9696969696969697, ""3"": 0.9705882352941176, ""4"": 0.9347826086956522, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.85}",4,8,2600,"[2, 3, 4, 5]"
20,client_dropout,0.0,4,0.9194,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.85}",4,8,2600,"[2, 3, 4, 5]"
21,client_dropout,0.0,4,0.9167,"{""0"": 1.0, ""1"": 0.75, ""2"": 1.0, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.875}",4,8,2600,"[0, 3, 5, 7]"
22,client_dropout,0.0,4,0.9167,"{""0"": 1.0, ""1"": 0.75, ""2"": 0.8181818181818182, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.9148936170212766, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9666666666666667, ""9"": 0.85}",4,8,2600,"[0, 2, 4, 5]"
23,client_dropout,0.0,4,0.9139,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.9696969696969697, ""3"": 0.9705882352941176, ""4"": 0.9347826086956522, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.6666666666666666, ""9"": 0.9}",4,8,2600,"[3, 4, 5, 7]"
24,client_dropout,0.0,4,0.9222,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 0.9347826086956522, ""5"": 0.8723404255319149, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.875}",4,8,2600,"[3, 4, 5, 7]"
25,client_dropout,0.0,4,0.9222,"{""0"": 1.0, ""1"": 0.7857142857142857, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 0.9782608695652174, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.85}",4,8,2600,"[0, 2, 5, 6]"
26,client_dropout,0.0,4,0.9278,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.9696969696969697, ""3"": 1.0, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.9}",4,8,2600,"[1, 2, 3, 7]"
27,client_dropout,0.0,4,0.9361,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9696969696969697, ""3"": 1.0, ""4"": 0.9782608695652174, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.875}",4,8,2600,"[1, 2, 4, 7]"
28,client_dropout,0.0,4,0.9222,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 0.9347826086956522, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.9}",4,8,2600,"[3, 5, 6, 7]"
29,client_dropout,0.0,4,0.9250,"{""0"": 1.0, ""1"": 0.7142857142857143, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 0.9782608695652174, ""5"": 0.9148936170212766, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9333333333333333, ""9"": 0.85}",4,8,2600,"[0, 1, 5, 6]"
30,client_dropout,0.0,4,0.9222,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 0.9347826086956522, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.85}",4,8,2600,"[0, 4, 5, 6]"
31,client_dropout,0.0,4,0.9361,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.925}",4,8,2600,"[0, 2, 3, 7]"
32,client_dropout,0.0,4,0.9306,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 0.9347826086956522, ""5"": 0.9148936170212766, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9333333333333333, ""9"": 0.85}",4,8,2600,"[2, 5, 6, 7]"
33,client_dropout,0.0,4,0.9306,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",4,8,2600,"[0, 2, 6, 7]"
34,client_dropout,0.0,4,0.9333,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9333333333333333, ""9"": 0.85}",4,8,2600,"[0, 2, 4, 5]"
35,client_dropout,0.0,4,0.9306,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.8723404255319149, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",4,8,2600,"[0, 2, 5, 7]"
36,client_dropout,0.0,4,0.9222,"{""0"": 1.0, ""1"": 0.7142857142857143, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 0.9782608695652174, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9333333333333333, ""9"": 0.85}",4,8,2600,"[0, 5, 6, 7]"
37,client_dropout,0.0,4,0.9278,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 0.9565217391304348, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",4,8,2600,"[0, 2, 4, 5]"
38,client_dropout,0.0,4,0.9306,"{""0"": 1.0, ""1"": 0.7857142857142857, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9, ""9"": 0.85}",4,8,2600,"[1, 2, 4, 5]"
39,client_dropout,0.0,4,0.9389,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.9361702127659575, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.85}",4,8,2600,"[1, 2, 4, 6]"
40,client_dropout,0.0,4,0.9250,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 0.9347826086956522, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.9}",4,8,2600,"[3, 4, 5, 7]"
