round,mode,dropout_rate,clients_per_round,global_accuracy,per_class_accuracy,num_participated,num_available,comm_cost,participating_cids
1,model_dropout,0.0,8,0.7278,"{""0"": 0.9393939393939394, ""1"": 0.7857142857142857, ""2"": 0.9393939393939394, ""3"": 1.0, ""4"": 0.9782608695652174, ""5"": 0.6382978723404256, ""6"": 1.0, ""7"": 0.47058823529411764, ""8"": 0.1, ""9"": 0.375}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
2,model_dropout,0.0,8,0.8917,"{""0"": 1.0, ""1"": 0.7857142857142857, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.6, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
3,model_dropout,0.0,8,0.8694,"{""0"": 0.9696969696969697, ""1"": 0.8214285714285714, ""2"": 0.9393939393939394, ""3"": 1.0, ""4"": 0.9565217391304348, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.4666666666666667, ""9"": 0.725}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
4,model_dropout,0.0,8,0.8972,"{""0"": 1.0, ""1"": 0.7142857142857143, ""2"": 0.9393939393939394, ""3"": 0.8235294117647058, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.8, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
5,model_dropout,0.0,8,0.8306,"{""0"": 0.9696969696969697, ""1"": 0.8928571428571429, ""2"": 0.8787878787878788, ""3"": 1.0, ""4"": 0.9347826086956522, ""5"": 0.7659574468085106, ""6"": 1.0, ""7"": 0.9117647058823529, ""8"": 0.4, ""9"": 0.55}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
6,model_dropout,0.0,8,0.8333,"{""0"": 1.0, ""1"": 0.21428571428571427, ""2"": 0.9393939393939394, ""3"": 0.5, ""4"": 0.9782608695652174, ""5"": 0.8723404255319149, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
7,model_dropout,0.0,8,0.7833,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.7878787878787878, ""3"": 1.0, ""4"": 0.9130434782608695, ""5"": 0.7659574468085106, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.13333333333333333, ""9"": 0.375}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
8,model_dropout,0.0,8,0.8361,"{""0"": 0.9393939393939394, ""1"": 0.25, ""2"": 0.9393939393939394, ""3"": 0.5294117647058824, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9, ""9"": 0.875}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
9,model_dropout,0.0,8,0.8111,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.7878787878787878, ""3"": 1.0, ""4"": 0.9130434782608695, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.2, ""9"": 0.4}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
10,model_dropout,0.0,8,0.8694,"{""0"": 0.9696969696969697, ""1"": 0.5, ""2"": 0.9393939393939394, ""3"": 0.6764705882352942, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9, ""9"": 0.875}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
11,model_dropout,0.0,8,0.8528,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.8484848484848485, ""3"": 1.0, ""4"": 0.9130434782608695, ""5"": 0.9361702127659575, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.43333333333333335, ""9"": 0.525}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
12,model_dropout,0.0,8,0.9028,"{""0"": 1.0, ""1"": 0.6785714285714286, ""2"": 0.9696969696969697, ""3"": 0.8235294117647058, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
13,model_dropout,0.0,8,0.9167,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.9393939393939394, ""3"": 1.0, ""4"": 0.9347826086956522, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
14,model_dropout,0.0,8,0.9111,"{""0"": 0.9696969696969697, ""1"": 0.6785714285714286, ""2"": 0.9696969696969697, ""3"": 0.8823529411764706, ""4"": 1.0, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
15,model_dropout,0.0,8,0.9167,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.9696969696969697, ""3"": 0.9705882352941176, ""4"": 0.9347826086956522, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
16,model_dropout,0.0,8,0.9222,"{""0"": 1.0, ""1"": 0.7857142857142857, ""2"": 0.9696969696969697, ""3"": 0.9117647058823529, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
17,model_dropout,0.0,8,0.9167,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 0.9347826086956522, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
18,model_dropout,0.0,8,0.9222,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9393939393939394, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
