round,mode,dropout_rate,clients_per_round,global_accuracy,per_class_accuracy,num_participated,num_available,comm_cost,participating_cids
17,model_dropout,0.75,8,0.9000,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.6666666666666666, ""9"": 0.85}",8,8,1268,"[0, 1, 2, 3, 4, 5, 6, 7]"
18,model_dropout,0.75,8,0.9000,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 1.0, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.6333333333333333, ""9"": 0.85}",8,8,1308,"[0, 1, 2, 3, 4, 5, 6, 7]"
19,model_dropout,0.75,8,0.8944,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.6333333333333333, ""9"": 0.85}",8,8,1329,"[0, 1, 2, 3, 4, 5, 6, 7]"
20,model_dropout,0.75,8,0.9056,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.7, ""9"": 0.85}",8,8,1261,"[0, 1, 2, 3, 4, 5, 6, 7]"
21,model_dropout,0.75,8,0.9028,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.7, ""9"": 0.85}",8,8,1268,"[0, 1, 2, 3, 4, 5, 6, 7]"
22,model_dropout,0.75,8,0.9028,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.8297872340425532, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.85}",8,8,1325,"[0, 1, 2, 3, 4, 5, 6, 7]"
23,model_dropout,0.75,8,0.9056,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.85}",8,8,1305,"[0, 1, 2, 3, 4, 5, 6, 7]"
24,model_dropout,0.75,8,0.9056,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.85}",8,8,1261,"[0, 1, 2, 3, 4, 5, 6, 7]"
25,model_dropout,0.75,8,0.9056,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.7333333333333333, ""9"": 0.85}",8,8,1291,"[0, 1, 2, 3, 4, 5, 6, 7]"
26,model_dropout,0.75,8,0.9056,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.85}",8,8,1263,"[0, 1, 2, 3, 4, 5, 6, 7]"
