round,global_accuracy,num_participated,participating_cids
1,0.9222,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,0.9306,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
