round,malicious_pct,run_id,global_accuracy
1,50.0,4,0.8361
2,50.0,4,0.8778
3,50.0,4,0.9111
4,50.0,4,0.8583
5,50.0,4,0.8611
6,50.0,4,0.8917
7,50.0,4,0.8583
8,50.0,4,0.9083
9,50.0,4,0.8861
10,50.0,4,0.8944
11,50.0,4,0.8611
12,50.0,4,0.8583
13,50.0,4,0.8833
14,50.0,4,0.8917
15,50.0,4,0.8833
16,50.0,4,0.8750
17,50.0,4,0.9028
18,50.0,4,0.8722
19,50.0,4,0.8944
20,50.0,4,0.8806
21,50.0,4,0.8750
22,50.0,4,0.8389
23,50.0,4,0.8750
24,50.0,4,0.8556
25,50.0,4,0.8111
26,50.0,4,0.8889
27,50.0,4,0.8722
28,50.0,4,0.8556
29,50.0,4,0.8944
30,50.0,4,0.8667
31,50.0,4,0.8722
32,50.0,4,0.8778
33,50.0,4,0.8833
34,50.0,4,0.8639
35,50.0,4,0.8500
36,50.0,4,0.8611
37,50.0,4,0.8611
38,50.0,4,0.8361
39,50.0,4,0.8611
40,50.0,4,0.8306
