round,malicious_pct,run_id,global_accuracy
1,10.0,1,0.9194
2,10.0,1,0.9111
3,10.0,1,0.9361
4,10.0,1,0.9333
5,10.0,1,0.9250
6,10.0,1,0.9472
7,10.0,1,0.9333
8,10.0,1,0.9361
9,10.0,1,0.9389
10,10.0,1,0.9472
11,10.0,1,0.9556
12,10.0,1,0.9556
13,10.0,1,0.9500
14,10.0,1,0.9444
15,10.0,1,0.9472
16,10.0,1,0.9556
17,10.0,1,0.9528
18,10.0,1,0.9500
19,10.0,1,0.9528
20,10.0,1,0.9583
21,10.0,1,0.9556
22,10.0,1,0.9500
23,10.0,1,0.9694
24,10.0,1,0.9583
25,10.0,1,0.9556
26,10.0,1,0.9639
27,10.0,1,0.9639
28,10.0,1,0.9639
29,10.0,1,0.9556
30,10.0,1,0.9583
31,10.0,1,0.9639
32,10.0,1,0.9444
33,10.0,1,0.9500
34,10.0,1,0.9500
35,10.0,1,0.9389
36,10.0,1,0.9500
37,10.0,1,0.9500
38,10.0,1,0.9528
39,10.0,1,0.9500
40,10.0,1,0.9500
