round,malicious_pct,run_id,global_accuracy
1,10.0,3,0.9194
2,10.0,3,0.9111
3,10.0,3,0.9361
4,10.0,3,0.9333
5,10.0,3,0.9250
6,10.0,3,0.9472
7,10.0,3,0.9417
8,10.0,3,0.9306
9,10.0,3,0.9472
10,10.0,3,0.9444
11,10.0,3,0.9528
12,10.0,3,0.9472
13,10.0,3,0.9417
14,10.0,3,0.9528
15,10.0,3,0.9528
16,10.0,3,0.9528
17,10.0,3,0.9556
18,10.0,3,0.9556
19,10.0,3,0.9639
20,10.0,3,0.9639
21,10.0,3,0.9556
22,10.0,3,0.9472
23,10.0,3,0.9583
24,10.0,3,0.9417
25,10.0,3,0.9611
26,10.0,3,0.9556
27,10.0,3,0.9528
28,10.0,3,0.9583
29,10.0,3,0.9611
30,10.0,3,0.9639
31,10.0,3,0.9639
32,10.0,3,0.9639
33,10.0,3,0.9583
34,10.0,3,0.9583
35,10.0,3,0.9444
36,10.0,3,0.9556
37,10.0,3,0.9444
38,10.0,3,0.9417
39,10.0,3,0.9556
40,10.0,3,0.9528
