round,malicious_pct,run_id,global_accuracy
1,50.0,3,0.8361
2,50.0,3,0.8778
3,50.0,3,0.9111
4,50.0,3,0.8583
5,50.0,3,0.8861
6,50.0,3,0.8694
7,50.0,3,0.8972
8,50.0,3,0.8639
9,50.0,3,0.8972
10,50.0,3,0.8778
11,50.0,3,0.8861
12,50.0,3,0.8861
13,50.0,3,0.8000
14,50.0,3,0.9083
15,50.0,3,0.8556
16,50.0,3,0.8889
17,50.0,3,0.8500
18,50.0,3,0.8639
19,50.0,3,0.8806
20,50.0,3,0.8528
21,50.0,3,0.8556
22,50.0,3,0.8611
23,50.0,3,0.8861
24,50.0,3,0.8861
25,50.0,3,0.8556
26,50.0,3,0.8500
27,50.0,3,0.8639
28,50.0,3,0.8778
29,50.0,3,0.8639
30,50.0,3,0.8722
31,50.0,3,0.8444
32,50.0,3,0.8694
33,50.0,3,0.8583
34,50.0,3,0.8194
35,50.0,3,0.8694
36,50.0,3,0.8306
37,50.0,3,0.8722
38,50.0,3,0.8583
39,50.0,3,0.8472
40,50.0,3,0.8444
