round,malicious_pct,run_id,global_accuracy
1,10.0,4,0.9194
2,10.0,4,0.9111
3,10.0,4,0.9361
4,10.0,4,0.9333
5,10.0,4,0.9250
6,10.0,4,0.9444
7,10.0,4,0.9417
8,10.0,4,0.9472
9,10.0,4,0.9417
10,10.0,4,0.9472
11,10.0,4,0.9417
12,10.0,4,0.9500
13,10.0,4,0.9556
14,10.0,4,0.9611
15,10.0,4,0.9444
16,10.0,4,0.9611
17,10.0,4,0.9639
18,10.0,4,0.9639
19,10.0,4,0.9639
20,10.0,4,0.9472
21,10.0,4,0.9583
22,10.0,4,0.9583
23,10.0,4,0.9556
24,10.0,4,0.9611
25,10.0,4,0.9444
26,10.0,4,0.9667
27,10.0,4,0.9528
28,10.0,4,0.9472
29,10.0,4,0.9556
30,10.0,4,0.9528
31,10.0,4,0.9611
32,10.0,4,0.9611
33,10.0,4,0.9639
34,10.0,4,0.9556
35,10.0,4,0.9472
36,10.0,4,0.9500
37,10.0,4,0.9389
38,10.0,4,0.9556
39,10.0,4,0.9500
40,10.0,4,0.9583
