malicious_pct,run_id,final_accuracy
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
20,0,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
30,0,0.0
30,1,0.0
30,2,0.0
30,3,0.0
30,4,0.0
40,0,0.0
40,1,0.0
40,2,0.0
40,3,0.0
40,4,0.0
50,0,0.0
50,1,0.0
50,2,0.0
50,3,0.0
50,4,0.0
