round,malicious_pct,run_id,global_accuracy
1,40.0,2,0.8611
2,40.0,2,0.8583
3,40.0,2,0.9139
4,40.0,2,0.8889
5,40.0,2,0.8889
6,40.0,2,0.9222
7,40.0,2,0.9444
8,40.0,2,0.9278
9,40.0,2,0.9306
10,40.0,2,0.9472
11,40.0,2,0.9083
12,40.0,2,0.8778
13,40.0,2,0.9306
14,40.0,2,0.9222
15,40.0,2,0.9056
16,40.0,2,0.9194
17,40.0,2,0.9222
18,40.0,2,0.9222
19,40.0,2,0.8972
20,40.0,2,0.9306
21,40.0,2,0.9000
22,40.0,2,0.9278
23,40.0,2,0.9333
24,40.0,2,0.9333
25,40.0,2,0.9306
26,40.0,2,0.8972
27,40.0,2,0.9139
28,40.0,2,0.9139
29,40.0,2,0.9083
30,40.0,2,0.9028
31,40.0,2,0.9056
32,40.0,2,0.9056
33,40.0,2,0.9250
34,40.0,2,0.9000
35,40.0,2,0.8917
36,40.0,2,0.8917
37,40.0,2,0.8917
38,40.0,2,0.9194
39,40.0,2,0.9139
40,40.0,2,0.9139
