round,malicious_pct,run_id,global_accuracy
1,40.0,3,0.8611
2,40.0,3,0.8583
3,40.0,3,0.9139
4,40.0,3,0.8944
5,40.0,3,0.8917
6,40.0,3,0.9194
7,40.0,3,0.9306
8,40.0,3,0.9139
9,40.0,3,0.9222
10,40.0,3,0.9417
11,40.0,3,0.9333
12,40.0,3,0.9222
13,40.0,3,0.9000
14,40.0,3,0.9222
15,40.0,3,0.8833
16,40.0,3,0.8972
17,40.0,3,0.9111
18,40.0,3,0.8806
19,40.0,3,0.9333
20,40.0,3,0.9167
21,40.0,3,0.9306
22,40.0,3,0.9056
23,40.0,3,0.9056
24,40.0,3,0.9194
25,40.0,3,0.8917
26,40.0,3,0.9056
27,40.0,3,0.9250
28,40.0,3,0.9083
29,40.0,3,0.9306
30,40.0,3,0.8944
31,40.0,3,0.9167
32,40.0,3,0.9111
33,40.0,3,0.8972
34,40.0,3,0.9111
35,40.0,3,0.9000
36,40.0,3,0.9278
37,40.0,3,0.9000
38,40.0,3,0.9222
39,40.0,3,0.9028
40,40.0,3,0.8833
