round,malicious_pct,run_id,global_accuracy
1,50.0,1,0.8361
2,50.0,1,0.8778
3,50.0,1,0.9111
4,50.0,1,0.8583
5,50.0,1,0.8806
6,50.0,1,0.8833
7,50.0,1,0.8861
8,50.0,1,0.8889
9,50.0,1,0.9167
10,50.0,1,0.8611
11,50.0,1,0.8667
12,50.0,1,0.8556
13,50.0,1,0.8917
14,50.0,1,0.8722
15,50.0,1,0.8639
16,50.0,1,0.9056
17,50.0,1,0.9056
18,50.0,1,0.8833
19,50.0,1,0.8694
20,50.0,1,0.8833
21,50.0,1,0.8472
22,50.0,1,0.8611
23,50.0,1,0.8944
24,50.0,1,0.8639
25,50.0,1,0.8833
26,50.0,1,0.8472
27,50.0,1,0.8667
28,50.0,1,0.8167
29,50.0,1,0.8639
30,50.0,1,0.8861
31,50.0,1,0.8667
32,50.0,1,0.8611
33,50.0,1,0.8500
34,50.0,1,0.8556
35,50.0,1,0.8806
36,50.0,1,0.8667
37,50.0,1,0.8139
38,50.0,1,0.8667
39,50.0,1,0.8556
40,50.0,1,0.8167
