round,malicious_pct,run_id,global_accuracy
1,20.0,2,0.9167
2,20.0,2,0.9028
3,20.0,2,0.9361
4,20.0,2,0.9389
5,20.0,2,0.9361
6,20.0,2,0.9306
7,20.0,2,0.9389
8,20.0,2,0.9583
9,20.0,2,0.9472
10,20.0,2,0.9472
11,20.0,2,0.9444
12,20.0,2,0.9528
13,20.0,2,0.9556
14,20.0,2,0.9500
15,20.0,2,0.9500
16,20.0,2,0.9417
17,20.0,2,0.9556
18,20.0,2,0.9500
19,20.0,2,0.9528
20,20.0,2,0.9500
21,20.0,2,0.9528
22,20.0,2,0.9556
23,20.0,2,0.9556
24,20.0,2,0.9528
25,20.0,2,0.9500
26,20.0,2,0.9583
27,20.0,2,0.9528
28,20.0,2,0.9528
29,20.0,2,0.9528
30,20.0,2,0.9556
31,20.0,2,0.9500
32,20.0,2,0.9556
33,20.0,2,0.9444
34,20.0,2,0.9500
35,20.0,2,0.9472
36,20.0,2,0.9444
37,20.0,2,0.9528
38,20.0,2,0.9500
39,20.0,2,0.9472
40,20.0,2,0.9472
