round,malicious_pct,run_id,global_accuracy
1,30.0,1,0.9167
2,30.0,1,0.9250
3,30.0,1,0.9194
4,30.0,1,0.9167
5,30.0,1,0.9361
6,30.0,1,0.9389
7,30.0,1,0.9417
8,30.0,1,0.9333
9,30.0,1,0.9333
10,30.0,1,0.9250
11,30.0,1,0.9389
12,30.0,1,0.9361
13,30.0,1,0.9278
14,30.0,1,0.9472
15,30.0,1,0.9528
16,30.0,1,0.9306
17,30.0,1,0.9417
18,30.0,1,0.9417
19,30.0,1,0.9333
20,30.0,1,0.9472
21,30.0,1,0.9556
22,30.0,1,0.9528
23,30.0,1,0.9389
24,30.0,1,0.9444
25,30.0,1,0.9444
26,30.0,1,0.9417
27,30.0,1,0.9361
28,30.0,1,0.9500
29,30.0,1,0.9444
30,30.0,1,0.9417
31,30.0,1,0.9500
32,30.0,1,0.9389
33,30.0,1,0.9556
34,30.0,1,0.9417
35,30.0,1,0.9389
36,30.0,1,0.9361
37,30.0,1,0.9444
38,30.0,1,0.9389
39,30.0,1,0.9444
40,30.0,1,0.9417
