round,malicious_pct,run_id,global_accuracy
1,30.0,3,0.9167
2,30.0,3,0.9250
3,30.0,3,0.9194
4,30.0,3,0.9167
5,30.0,3,0.9306
6,30.0,3,0.9333
7,30.0,3,0.9389
8,30.0,3,0.9278
9,30.0,3,0.9306
10,30.0,3,0.9333
11,30.0,3,0.9389
12,30.0,3,0.9306
13,30.0,3,0.9278
14,30.0,3,0.9361
15,30.0,3,0.9361
16,30.0,3,0.9444
17,30.0,3,0.9417
18,30.0,3,0.9556
19,30.0,3,0.9444
20,30.0,3,0.9528
21,30.0,3,0.9417
22,30.0,3,0.9333
23,30.0,3,0.9472
24,30.0,3,0.9361
25,30.0,3,0.9417
26,30.0,3,0.9361
27,30.0,3,0.9472
28,30.0,3,0.9583
29,30.0,3,0.9389
30,30.0,3,0.9472
31,30.0,3,0.9556
32,30.0,3,0.9444
33,30.0,3,0.9444
34,30.0,3,0.9444
35,30.0,3,0.9417
36,30.0,3,0.9472
37,30.0,3,0.9333
38,30.0,3,0.9472
39,30.0,3,0.9444
40,30.0,3,0.9306
