round,malicious_pct,run_id,global_accuracy
1,20.0,3,0.9167
2,20.0,3,0.9028
3,20.0,3,0.9361
4,20.0,3,0.9306
5,20.0,3,0.9389
6,20.0,3,0.9361
7,20.0,3,0.9333
8,20.0,3,0.9389
9,20.0,3,0.9444
10,20.0,3,0.9417
11,20.0,3,0.9417
12,20.0,3,0.9417
13,20.0,3,0.9472
14,20.0,3,0.9444
15,20.0,3,0.9389
16,20.0,3,0.9528
17,20.0,3,0.9500
18,20.0,3,0.9444
19,20.0,3,0.9528
20,20.0,3,0.9472
21,20.0,3,0.9500
22,20.0,3,0.9333
23,20.0,3,0.9361
24,20.0,3,0.9500
25,20.0,3,0.9444
26,20.0,3,0.9472
27,20.0,3,0.9444
28,20.0,3,0.9472
29,20.0,3,0.9444
30,20.0,3,0.9528
31,20.0,3,0.9472
32,20.0,3,0.9444
33,20.0,3,0.9444
34,20.0,3,0.9444
35,20.0,3,0.9417
36,20.0,3,0.9472
37,20.0,3,0.9472
38,20.0,3,0.9417
39,20.0,3,0.9472
40,20.0,3,0.9500
