round,malicious_pct,run_id,global_accuracy
1,20.0,1,0.9167
2,20.0,1,0.9028
3,20.0,1,0.9361
4,20.0,1,0.9444
5,20.0,1,0.9333
6,20.0,1,0.9361
7,20.0,1,0.9472
8,20.0,1,0.9528
9,20.0,1,0.9444
10,20.0,1,0.9444
11,20.0,1,0.9361
12,20.0,1,0.9333
13,20.0,1,0.9500
14,20.0,1,0.9417
15,20.0,1,0.9528
16,20.0,1,0.9500
17,20.0,1,0.9500
18,20.0,1,0.9528
19,20.0,1,0.9417
20,20.0,1,0.9556
21,20.0,1,0.9472
22,20.0,1,0.9528
23,20.0,1,0.9500
24,20.0,1,0.9500
25,20.0,1,0.9444
26,20.0,1,0.9417
27,20.0,1,0.9528
28,20.0,1,0.9556
29,20.0,1,0.9500
30,20.0,1,0.9528
31,20.0,1,0.9528
32,20.0,1,0.9500
33,20.0,1,0.9417
34,20.0,1,0.9500
35,20.0,1,0.9472
36,20.0,1,0.9500
37,20.0,1,0.9583
38,20.0,1,0.9472
39,20.0,1,0.9444
40,20.0,1,0.9472
