round,malicious_pct,run_id,global_accuracy
1,30.0,4,0.9167
2,30.0,4,0.9250
3,30.0,4,0.9194
4,30.0,4,0.9167
5,30.0,4,0.9361
6,30.0,4,0.9444
7,30.0,4,0.9472
8,30.0,4,0.9444
9,30.0,4,0.9389
10,30.0,4,0.9278
11,30.0,4,0.9278
12,30.0,4,0.9111
13,30.0,4,0.9361
14,30.0,4,0.9333
15,30.0,4,0.9500
16,30.0,4,0.9306
17,30.0,4,0.9389
18,30.0,4,0.8944
19,30.0,4,0.9444
20,30.0,4,0.9528
21,30.0,4,0.9472
22,30.0,4,0.9444
23,30.0,4,0.9444
24,30.0,4,0.9444
25,30.0,4,0.9472
26,30.0,4,0.9417
27,30.0,4,0.9278
28,30.0,4,0.9500
29,30.0,4,0.9472
30,30.0,4,0.9556
31,30.0,4,0.9306
32,30.0,4,0.9444
33,30.0,4,0.9444
34,30.0,4,0.9389
35,30.0,4,0.9389
36,30.0,4,0.9361
37,30.0,4,0.9278
38,30.0,4,0.9333
39,30.0,4,0.9444
40,30.0,4,0.9389
