round,malicious_pct,run_id,global_accuracy
1,10.0,0,0.9194
2,10.0,0,0.9111
3,10.0,0,0.9361
4,10.0,0,0.9333
5,10.0,0,0.9278
6,10.0,0,0.9444
7,10.0,0,0.9444
8,10.0,0,0.9444
9,10.0,0,0.9472
10,10.0,0,0.9417
11,10.0,0,0.9444
12,10.0,0,0.9444
13,10.0,0,0.9444
14,10.0,0,0.9556
15,10.0,0,0.9528
16,10.0,0,0.9583
17,10.0,0,0.9472
18,10.0,0,0.9500
19,10.0,0,0.9500
20,10.0,0,0.9611
21,10.0,0,0.9639
22,10.0,0,0.9583
23,10.0,0,0.9444
24,10.0,0,0.9528
25,10.0,0,0.9611
26,10.0,0,0.9528
27,10.0,0,0.9556
28,10.0,0,0.9583
29,10.0,0,0.9556
30,10.0,0,0.9500
31,10.0,0,0.9611
32,10.0,0,0.9528
33,10.0,0,0.9639
34,10.0,0,0.9528
35,10.0,0,0.9556
36,10.0,0,0.9611
37,10.0,0,0.9528
38,10.0,0,0.9472
39,10.0,0,0.9472
40,10.0,0,0.9500
