round,malicious_pct,run_id,global_accuracy
1,30.0,2,0.9167
2,30.0,2,0.9250
3,30.0,2,0.9194
4,30.0,2,0.9167
5,30.0,2,0.9361
6,30.0,2,0.9389
7,30.0,2,0.9306
8,30.0,2,0.9417
9,30.0,2,0.9167
10,30.0,2,0.9333
11,30.0,2,0.9444
12,30.0,2,0.9417
13,30.0,2,0.9333
14,30.0,2,0.9389
15,30.0,2,0.9361
16,30.0,2,0.9444
17,30.0,2,0.9333
18,30.0,2,0.9417
19,30.0,2,0.9528
20,30.0,2,0.9500
21,30.0,2,0.9472
22,30.0,2,0.9472
23,30.0,2,0.9306
24,30.0,2,0.9528
25,30.0,2,0.9417
26,30.0,2,0.9417
27,30.0,2,0.9500
28,30.0,2,0.9444
29,30.0,2,0.9417
30,30.0,2,0.9500
31,30.0,2,0.9472
32,30.0,2,0.9444
33,30.0,2,0.9306
34,30.0,2,0.9278
35,30.0,2,0.9389
36,30.0,2,0.9361
37,30.0,2,0.9389
38,30.0,2,0.9417
39,30.0,2,0.9333
40,30.0,2,0.9389
