round,malicious_pct,run_id,global_accuracy
1,40.0,1,0.8611
2,40.0,1,0.8583
3,40.0,1,0.9139
4,40.0,1,0.8944
5,40.0,1,0.8778
6,40.0,1,0.9194
7,40.0,1,0.9306
8,40.0,1,0.9250
9,40.0,1,0.9083
10,40.0,1,0.9028
11,40.0,1,0.9056
12,40.0,1,0.9222
13,40.0,1,0.9472
14,40.0,1,0.9278
15,40.0,1,0.8722
16,40.0,1,0.9139
17,40.0,1,0.9139
18,40.0,1,0.9139
19,40.0,1,0.9194
20,40.0,1,0.9139
21,40.0,1,0.8944
22,40.0,1,0.9111
23,40.0,1,0.9111
24,40.0,1,0.9083
25,40.0,1,0.9111
26,40.0,1,0.9250
27,40.0,1,0.9111
28,40.0,1,0.9083
29,40.0,1,0.8722
30,40.0,1,0.9056
31,40.0,1,0.9111
32,40.0,1,0.9167
33,40.0,1,0.9139
34,40.0,1,0.9056
35,40.0,1,0.9028
36,40.0,1,0.9000
37,40.0,1,0.8972
38,40.0,1,0.9028
39,40.0,1,0.9194
40,40.0,1,0.9083
