round,malicious_pct,run_id,global_accuracy
1,50.0,0,0.8361
2,50.0,0,0.8778
3,50.0,0,0.9111
4,50.0,0,0.8583
5,50.0,0,0.8750
6,50.0,0,0.8778
7,50.0,0,0.8806
8,50.0,0,0.9000
9,50.0,0,0.8722
10,50.0,0,0.8806
11,50.0,0,0.9056
12,50.0,0,0.8667
13,50.0,0,0.8722
14,50.0,0,0.8583
15,50.0,0,0.8639
16,50.0,0,0.8722
17,50.0,0,0.8306
18,50.0,0,0.8750
19,50.0,0,0.8750
20,50.0,0,0.8806
21,50.0,0,0.8833
22,50.0,0,0.8667
23,50.0,0,0.8500
24,50.0,0,0.8861
25,50.0,0,0.8528
26,50.0,0,0.8694
27,50.0,0,0.8722
28,50.0,0,0.7917
29,50.0,0,0.8556
30,50.0,0,0.8528
31,50.0,0,0.8528
32,50.0,0,0.8500
33,50.0,0,0.8639
34,50.0,0,0.8750
35,50.0,0,0.8250
36,50.0,0,0.8333
37,50.0,0,0.8472
38,50.0,0,0.8528
39,50.0,0,0.8667
40,50.0,0,0.8639
