round,malicious_pct,run_id,global_accuracy
1,40.0,0,0.8611
2,40.0,0,0.8583
3,40.0,0,0.9139
4,40.0,0,0.8889
5,40.0,0,0.8750
6,40.0,0,0.9000
7,40.0,0,0.9111
8,40.0,0,0.8861
9,40.0,0,0.9500
10,40.0,0,0.9167
11,40.0,0,0.9000
12,40.0,0,0.9389
13,40.0,0,0.9306
14,40.0,0,0.9417
15,40.0,0,0.9306
16,40.0,0,0.9111
17,40.0,0,0.9028
18,40.0,0,0.9139
19,40.0,0,0.9278
20,40.0,0,0.8972
21,40.0,0,0.9306
22,40.0,0,0.9139
23,40.0,0,0.8889
24,40.0,0,0.9083
25,40.0,0,0.9333
26,40.0,0,0.9278
27,40.0,0,0.9250
28,40.0,0,0.8944
29,40.0,0,0.9306
30,40.0,0,0.9111
31,40.0,0,0.9194
32,40.0,0,0.9333
33,40.0,0,0.8944
34,40.0,0,0.9194
35,40.0,0,0.9167
36,40.0,0,0.8778
37,40.0,0,0.9278
38,40.0,0,0.9194
39,40.0,0,0.9083
40,40.0,0,0.9139
