round,malicious_pct,run_id,global_accuracy
1,20.0,0,0.9167
2,20.0,0,0.9028
3,20.0,0,0.9361
4,20.0,0,0.9361
5,20.0,0,0.9250
6,20.0,0,0.9444
7,20.0,0,0.9417
8,20.0,0,0.9389
9,20.0,0,0.9306
10,20.0,0,0.9472
11,20.0,0,0.9500
12,20.0,0,0.9472
13,20.0,0,0.9528
14,20.0,0,0.9361
15,20.0,0,0.9417
16,20.0,0,0.9528
17,20.0,0,0.9583
18,20.0,0,0.9583
19,20.0,0,0.9500
20,20.0,0,0.9472
21,20.0,0,0.9583
22,20.0,0,0.9528
23,20.0,0,0.9472
24,20.0,0,0.9528
25,20.0,0,0.9583
26,20.0,0,0.9528
27,20.0,0,0.9500
28,20.0,0,0.9500
29,20.0,0,0.9500
30,20.0,0,0.9500
31,20.0,0,0.9500
32,20.0,0,0.9500
33,20.0,0,0.9528
34,20.0,0,0.9472
35,20.0,0,0.9472
36,20.0,0,0.9500
37,20.0,0,0.9528
38,20.0,0,0.9556
39,20.0,0,0.9472
40,20.0,0,0.9444
