round,malicious_pct,run_id,global_accuracy
1,10.0,2,0.9194
2,10.0,2,0.9111
3,10.0,2,0.9361
4,10.0,2,0.9333
5,10.0,2,0.9250
6,10.0,2,0.9444
7,10.0,2,0.9500
8,10.0,2,0.9444
9,10.0,2,0.9444
10,10.0,2,0.9444
11,10.0,2,0.9472
12,10.0,2,0.9472
13,10.0,2,0.9417
14,10.0,2,0.9583
15,10.0,2,0.9417
16,10.0,2,0.9639
17,10.0,2,0.9583
18,10.0,2,0.9528
19,10.0,2,0.9444
20,10.0,2,0.9472
21,10.0,2,0.9694
22,10.0,2,0.9611
23,10.0,2,0.9528
24,10.0,2,0.9500
25,10.0,2,0.9500
26,10.0,2,0.9583
27,10.0,2,0.9389
28,10.0,2,0.9556
29,10.0,2,0.9556
30,10.0,2,0.9639
31,10.0,2,0.9500
32,10.0,2,0.9444
33,10.0,2,0.9556
34,10.0,2,0.9472
35,10.0,2,0.9444
36,10.0,2,0.9583
37,10.0,2,0.9556
38,10.0,2,0.9639
39,10.0,2,0.9472
40,10.0,2,0.9472
