round,malicious_pct,run_id,global_accuracy
1,50.0,2,0.8361
2,50.0,2,0.8778
3,50.0,2,0.9111
4,50.0,2,0.8583
5,50.0,2,0.8722
6,50.0,2,0.9278
7,50.0,2,0.8889
8,50.0,2,0.8639
9,50.0,2,0.8889
10,50.0,2,0.8833
11,50.0,2,0.8889
12,50.0,2,0.8861
13,50.0,2,0.8889
14,50.0,2,0.9083
15,50.0,2,0.9000
16,50.0,2,0.8611
17,50.0,2,0.8750
18,50.0,2,0.8944
19,50.0,2,0.8694
20,50.0,2,0.8944
21,50.0,2,0.8667
22,50.0,2,0.8806
23,50.0,2,0.8833
24,50.0,2,0.8778
25,50.0,2,0.8056
26,50.0,2,0.8639
27,50.0,2,0.8417
28,50.0,2,0.8806
29,50.0,2,0.8444
30,50.0,2,0.8389
31,50.0,2,0.8917
32,50.0,2,0.8444
33,50.0,2,0.8333
34,50.0,2,0.8639
35,50.0,2,0.8333
36,50.0,2,0.8250
37,50.0,2,0.8639
38,50.0,2,0.8167
39,50.0,2,0.8306
40,50.0,2,0.8778
