round,malicious_pct,run_id,global_accuracy
1,30.0,0,0.9167
2,30.0,0,0.9250
3,30.0,0,0.9194
4,30.0,0,0.9167
5,30.0,0,0.9361
6,30.0,0,0.9250
7,30.0,0,0.9361
8,30.0,0,0.9333
9,30.0,0,0.9417
10,30.0,0,0.9444
11,30.0,0,0.9167
12,30.0,0,0.9472
13,30.0,0,0.9389
14,30.0,0,0.9417
15,30.0,0,0.9389
16,30.0,0,0.9333
17,30.0,0,0.9333
18,30.0,0,0.9250
19,30.0,0,0.9333
20,30.0,0,0.9472
21,30.0,0,0.9444
22,30.0,0,0.9389
23,30.0,0,0.9417
24,30.0,0,0.9417
25,30.0,0,0.9472
26,30.0,0,0.9417
27,30.0,0,0.9500
28,30.0,0,0.9444
29,30.0,0,0.9389
30,30.0,0,0.9472
31,30.0,0,0.9389
32,30.0,0,0.9417
33,30.0,0,0.9444
34,30.0,0,0.9444
35,30.0,0,0.9417
36,30.0,0,0.9333
37,30.0,0,0.9306
38,30.0,0,0.9389
39,30.0,0,0.9389
40,30.0,0,0.9306
