round,dropout_count,dropout_round,global_accuracy,num_participated,num_available,participating_cids,dropped_data_share
1,6,20,0.7278,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
2,6,20,0.8917,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
3,6,20,0.8694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
4,6,20,0.8972,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
5,6,20,0.8306,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
6,6,20,0.8333,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
7,6,20,0.7833,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
8,6,20,0.8361,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
9,6,20,0.8111,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
10,6,20,0.8694,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
11,6,20,0.8528,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
12,6,20,0.9028,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
13,6,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
14,6,20,0.9111,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
15,6,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
16,6,20,0.9222,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
17,6,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
18,6,20,0.9222,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
19,6,20,0.9167,8,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0000
20,6,20,0.9222,2,8,"[2, 4]",0.7500
21,6,20,0.9222,2,8,"[2, 4]",0.7500
22,6,20,0.9361,2,8,"[2, 4]",0.7500
23,6,20,0.9250,2,8,"[2, 4]",0.7500
24,6,20,0.9333,2,8,"[2, 4]",0.7500
25,6,20,0.9333,2,8,"[2, 4]",0.7500
26,6,20,0.9333,2,8,"[2, 4]",0.7500
27,6,20,0.9389,2,8,"[2, 4]",0.7500
28,6,20,0.9361,2,8,"[2, 4]",0.7500
29,6,20,0.9389,2,8,"[2, 4]",0.7500
30,6,20,0.9306,2,8,"[2, 4]",0.7500
31,6,20,0.9389,2,8,"[2, 4]",0.7500
32,6,20,0.9306,2,8,"[2, 4]",0.7500
33,6,20,0.9389,2,8,"[2, 4]",0.7500
34,6,20,0.9306,2,8,"[2, 4]",0.7500
35,6,20,0.9333,2,8,"[2, 4]",0.7500
36,6,20,0.9306,2,8,"[2, 4]",0.7500
37,6,20,0.9333,2,8,"[2, 4]",0.7500
38,6,20,0.9278,2,8,"[2, 4]",0.7500
39,6,20,0.9333,2,8,"[2, 4]",0.7500
40,6,20,0.9306,2,8,"[2, 4]",0.7500
